id	text
doc_027	doc_027 [16 July, 2002]: Report of sums of money totaling $150,000 deposited in Denver bank accounts thought to be associated with the Aryan Brotherhood of Colorado.
doc_050	doc_050 [27 October, 2002]: On 14 July, 2002, a man identified as Majed H. rented a car at a Hertz car rental agency in Chicago, Illinois and dropped off the rented car in Minneapolis, Minnesota on 17 July, 2002.
doc_049	doc_049 [25 October, 2002]: On 24 October, 2002 embedded in a figure on a web site, allegedly with an Islamic charitable organization, was a coded number believed to be: 021127. It is likely that this number is the date: 27 November 2002.
doc_048	doc_048 [19 October, 2002]: Examination of the U-Haul truck rented by Mohammed H., and returned to St. Louis, Missouri was found to have traces of semtex explosives in the cab of the truck.
doc_047	doc_047 [27 October, 2002]: The person identified as Muhammad J. in FBI Report 06 and the person identified as Kamel J. in FBI Report 07 were photographed together in a bank in Atlanta, Georgia on October 6, 2002.
doc_046	doc_046 [13 September, 2002]: Six men from New Jersey have been charged in an alleged terror plot against soldiers at Fort Dix.The men planned to use automatic rifles to enter Fort Dix and kill as many soldiers as they could at the New Jersey military base. Fort Dix was just one of several military and security locations allegedly scouted by this group. The suspects, identified as Dritan Duka, Miquel James, Kendrick Bullard, Brendan Downing, Cruz Jelliman, and Buck Prescott, have been charged with conspiring to kill U.S. government employees.
doc_045	doc_045 [06 September, 2002]: An Illinois man plotted to set off hand grenades at a Chicago-area shopping mall in a holiday season terror campaign that was thwarted by federal investigators. According to an FBI affidavit, Derrick Shareef, 22, told a confidential source that he wanted to "commit violent acts of jihad," and spoke of killing judges and blowing up public buildings.
doc_044	doc_044 [26 October, 2002]: A computer in a public library in Atlanta, Georgia recorded several connections on 23 and 24 October, 2002 to the web site in NSA Report 01. Connections to this same web site were found in the library at Colorado State University on 23 and 24 October, 2002.
doc_043	doc_043 [01 August, 2002]: British police have a "crystal clear" picture of the man who drove the bomb-rigged silver Mercedes outside a New York nightclub, and officials tell that he bears "a close resemblance" to a man arrested by police in connection with another bomb plot but released for lack of evidence.
doc_042	doc_042 [29 July, 2002]: Two men with Jordanian passports were arrested yesterday morning in a Brooklyn apartment, where police officers found components of one or more pipe bombs -- evidence of what the authorities say was a terrorist plot to detonate bombs in the busy Atlantic Avenue subway station and on a commuter bus.
