FileName,Ziad.al.Shibh,Yemeni,Yasein.Mosed,Wisconsin,Webster.Ave.,Washington,Washington.DC,Wash..DC,Wallace.Wilson,Virginia,Virginia.National.Bank,Vincent.Lozario,Vincent.Cortez,Van.Dyke.Avenue,US,US.Post.Office,University.of.Virginia,University.of.Texas,University.Drive,United,United.Connector,United.Arab.Emirates,U.haul,Triacetone.Triperoxide,Trenton,Trenton.Avenue,The.Powhatan.Company,The.Netherlands,Texas,Tawfiq.al.Adel,Taliban,Sudan,Stinger,Steven.Clark,St..Mary.s.Road,Sprint,Springfield,Springfield.VA,Springfield.Mall,Spanish,Social.Security,Shiela.Watson,Sheldon.St.,Select.Gourmet.Foods,Seattle,Sealink.Container.Corp.,Saudi,San.Gabriel,Saleh.al.Ahdal,Sahim.Albakri,Saeed.Khallad,Saeed.Khaliad,Ryder.Truck.Rental,Rue.St..Sebastien,Rio.Grande,Riduan.bin.Attash,Richmond,Richard.Reid,Rhinelander.Platz.,Reagan.National.Airport,Ralph.Goode,Queens,Qatada,Pyramid.Bank.of.Cairo,Poland,Pentagon,Pentaerythritol,Penn.Station.NYC,Passport.Agency,Paris,Pakistani,Paddington,Omar.Clark,Omar.Bakri.Qatada,Office.Supplies.Co.,O.Hare,North.Bergen,New.York,New.York.Stock.Exchange,New.York.City,New.Orleans,New.Jersey,Myrtle.Ave,Mukhtar.Galab,Muhammed.bin.Harazi,Muhammad.Shamzi,Moslem,Minnesota,Minneapolis,Middle.Eastern,Michigan,Miami,Mexicans,Merrifield,McRae.Blvd,McNary,Masood.Yaser,Marvel.Corporation,Marshall.Avenue,Mark.Davis,March,X1993,March.of.2003,Manhattan,M15,Lublin,Los.Angeles,London,Little.York.Rd.,Lee.Highway,Lebanese,LAX,Laurel.Avenue,Latin.American,Khalfan.Maulid,Keswick,Kentucky,Karm.Bensaid,Kandahar,Joseph.Nizar,Jelte.Nijboer,Jamil.Musawi,Jamal.Kalifa,INS,Indian,Imperial.Highway,Illinois,I2.December,X20011,Hudspeth.County,Hubbard.St.,Howell.St.,Houston,Home.Depot,Holland.Queen,Hezboliah,Hans.Pakes,Hani.al.Hallak,Hamid.Alwan,Hamburg,Haarlem,Guantanamo,Greenlawn.Ave.,Green.Bay,Germany,German.Intelligence,Georgia,French,France,Floyd.Ave.,First.Union.National.Bank,First.Union.Bank,FBI,Faysal.Goba,Europe,Empire.State.Vending.Services,El.Segundo,El.Paso,Egyptian,Egypt,Dutch,Dulles.Airport,Detroit,Denver,Culver.City,Cuba,Continental.Airlines,Columbus,Colorado,Colfax.Avenue,Coast.Guard,Coal.Mine.Road,Clark.Webster,Clark.Adams,Clark...Co,City.Park,City.Computer.Services.Corp.,CIA,Chicago,Charlottesville,cesium.137,Central.Bank.of.Dubai,Carl.Louis,Capitol.Ave.,Canadian,Canada,Camp.George.West.Military.Reservation,California,Cairo,C.4,Bush.Intercontinental.Airport,Buenos.Aires,Budget.Storage.Units,Bronx,British,British.Special.Branch,Bremerhaven,Bowling.Green,Boston,Border.Patrol,bin.Attash,Beth.Israel,Ben.Hassine,Bagwant.Dhaliwal,Atlanta,Aryan.Nations,Arnaldo.Gueterrez,Army.CID,Arabic,Apex.Paper.Products.Company,AMTRAK,Amsterdam,American.Diplomatic.Mission.Headquarters,American.Airlines,Alwan,Alder.St,Al.Qaeda,al.Ahdal,Ahmed.Yassin,Afghanistan,Abul.Hassan.Salman,Abu.al.Masri,Abdulla.Ramzi,Abdul.Ramazi,Abdul.al.Hada,Abdelhak.Kherbane,X9.Apr,X2003,X804.774.8920,X804.759.6302,X8.Apr,X2002,X732.455.6392,X718.352.8479,X713.556.9213,X706.437.6673,X703.734.0104,X703.659.2317,X7.Apr,X6.Apr,X5.Apr,X30.Mar,X2932.University.Drive,X29.Apr,X1930hrs,X29.Apr.1,X1930,X27.Apr,X26.Apr,X25.Apr,X24.Apr,X23.Apr,X22.Dec,X2001,X22.Apr,X21.Apr,X20.Apr,X2.Dec,X1996,X1994,X1990...1992,X1987...1993,X19.Apr,X18.Apr,X16.Apr,X15.Apr,X14.Apr,X13.Apr,X12.Feb..1997,X12.Apr,X11.Apr,X1070173,X10.Apr,X1.Apr,X01.1207670734
se5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290551086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258586412,0,0,0,0,0,0,0,0,0.258586412,0.181570058,0.181570058,0,0,0,0,0,0,0,0.19640688,0.290551086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
se4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261495978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232727771,0.232727771,0,0,0,0.261495978,0,0,0,0.232727771,0,0,0,0,0,0,0,0,0,0,0,0,0.302042489,0,0,0,0.19218126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302042489
se3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153821163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136898689,0,0,0,0,0.136898689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136898689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177672052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177672052,0,0,0,0,0,0,0.123772597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153821163,0,0,0,0,0,0,0,0.136898689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136898689,0.136898689,0,0,0,0.153821163,0,0,0,0.136898689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218445416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123772597,0.177672052
se2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387879618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217913315,0,0,0,0,0.251702074,0.43582663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217913315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309464339,0.217913315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14730516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
se1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118861808,0,0,0,0,0,0.16879873,0.118861808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16879873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10578535,0,0,0,0,0,0,0,0.16879873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13729204,0,0,0,0,0,0,0,0,0,0.118861808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16879873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506396191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118861808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16879873,0.337597461,0,0,0,0.07427866,0,0.13729204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10578535,0,0
fbi9,0,0,0,0,0,0.275258924,0,0,0,0,0,0,0,0,0.08600687,0.195451161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977255807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158969731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195451161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026036644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195451161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08600687,0.079807763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137629462,0.1224883,0,0,0,0,0,0,0,0,0
fbi8,0,0,0,0,0,0.137629462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137629462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195451161,0,0,0,0,0,0,0,0,0,0.137629462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158969731,0.137629462,0,0,0,0,0,0,0,0,0.275258924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195451161,0,0,0,0.026036644,0,0,0,0,0,0,0,0.1224883,0,0,0,0,0,0.195451161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195451161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195451161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079807763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1224883,0.158969731,0,0,0,0,0,0,0,0
fbi7,0,0,0,0,0,0,0,0,0,0.193939809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309464339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217913315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041224687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43582663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126362291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193939809,0,0,0,0,0.309464339,0,0,0.175344513,0
fbi6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28565939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232340376,0,0,0,0.28565939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28565939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28565939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076107114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28565939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116642115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179021362,0,0.201150752,0,0,0,0,0,0,0
fbi5,0,0,0,0,0,0,0,0,0,0,0,0,0.100366813,0,0,0,0,0.100366813,0,0,0,0,0,0,0,0,0,0,0.49472212,0,0,0,0,0,0,0,0,0,0,0.100366813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100366813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100366813,0,0.200733625,0.200733625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100366813,0,0,0.070674589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013370169,0,0,0,0,0.602200876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100366813,0,0,0.100366813,0,0,0,0.100366813,0,0,0,0,0,0,0.070674589,0,0,0,0,0.100366813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04416569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070674589,0,0,0.070674589,0,0,0,0,0.062899397,0,0
